"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0060538","skeletal muscle organ development","29/1157","166/18723",3.41677274781447e-07,0.000151285796715539,0.000134117725049581,"WT1/NR2F2/FXR1/BASP1/SOX8/GPC1/LARGE1/MYOM2/EMD/WNT3A/HDAC4/TAFAZZIN/DMRTA2/KLF5/TBX1/RYR1/PLEC/HIVEP3/LMOD3/SRPK3/CYP26B1/SKI/BCL9/SIX1/RBFOX1/MYH14/SOX11/CITED2/HDAC9",29
"BP","GO:0043087","regulation of GTPase activity","47/1157","348/18723",3.62640829265302e-07,0.000151285796715539,0.000134117725049581,"RASAL3/SH3BP4/RAPGEF2/TBC1D12/ADCYAP1/PRTN3/ARHGEF16/PLXNA4/ARHGAP29/GSK3B/GAPVD1/TSC2/RAP1GAP/RASAL2/NTF3/PLXND1/NEDD9/PTK2B/RASGRF1/SIPA1L3/ADAP1/RGS7/RGMA/VAV2/ARHGEF19/PLXNA2/CCL1/ASAP2/ITGB1BP1/DENND1A/ARHGAP12/SIPA1L2/IQGAP1/SLC27A4/AGRN/NET1/ARAP1/VAV1/PKP4/ITGA6/TBC1D22A/IQSEC1/ARHGAP24/ARAP3/ARHGEF10/RAPGEF1/TBC1D1",47
"BP","GO:0048880","sensory system development","50/1157","381/18723",3.76006165384367e-07,0.000151285796715539,0.000134117725049581,"NES/PROX1/WT1/DLX2/JAG1/PITX2/SDK1/KLF4/SLC25A25/C1QA/HPCA/COL4A1/SOX8/WNT9B/LRP5L/MYOM2/HCN1/SIX3/MEIS1/PRSS56/FAT1/FBN2/TFAP2B/OSR2/RET/MAX/LAMA1/SH3PXD2B/SDK2/BMP7/LHX2/LRP5/NECTIN1/ATP2B4/PAX2/SIPA1L3/NPHP4/SMOC1/SOX2/PRPH2/HESX1/SKI/POU4F1/SOX1/MAF/CELF4/SOX11/NECTIN3/PDE6B/CITED2",50
"BP","GO:0060348","bone development","33/1157","205/18723",3.92295083166798e-07,0.000151285796715539,0.000134117725049581,"LTBP3/GPR68/PITX2/COL27A1/LRP5L/LRRK1/SULF1/PLS3/CHSY1/FGFR2/MEIS1/FGF18/MSX2/OSR2/AMER1/TNFSF11/SH3PXD2B/SULF2/LRP5/IFT80/NOTUM/RYR1/NAB2/BGN/CYP26B1/SKI/MMP14/SRC/CITED2/MBTPS2/DHRS3/SLC38A10/INSIG2",33
"BP","GO:0014706","striated muscle tissue development","50/1157","384/18723",4.77624937826226e-07,0.00017191313595492,0.000152404252090937,"PROX1/WT1/TENM4/EFNB2/NR2F2/JPH2/G6PD/RYR2/SOX8/GPC1/MYOM2/EMD/WNT3A/HDAC4/VGLL4/TAFAZZIN/SIK1/DMRTA2/FGFR2/MEIS1/MSX2/TBX20/KLF5/TBX1/MYO18B/CTDP1/BMP7/RYR1/PLEC/HIVEP3/PPARA/LMOD3/SRPK3/CYP26B1/SKI/BCL9/HNRNPU/POU4F1/SIX1/MEF2A/RBFOX1/MYH14/SOX11/FZD7/RUNX1/ADAMTS9/HEY2/CITED2/HDAC9/SLC8A1",50
"BP","GO:0001503","ossification","52/1157","408/18723",5.5241341654809e-07,0.000177533762208039,0.000157387043752733,"LTBP3/KL/SMAD6/JAG1/ADGRV1/SPARC/CCN2/SOX8/LRP5L/WNT3A/HDAC4/CHSY1/COL6A1/ZBTB40/FGFR2/MIR138-1/FBN2/FGF18/MSX2/OSR2/RUNX3/TNFSF11/FIGNL1/BMP7/LRP5/IFT80/PTK2B/NOTUM/RYR1/NAB2/MN1/SMOC1/SOX2/ALOX15/FASN/OSR1/CYP24A1/HGF/ASGR2/SKI/CSF1/HNRNPU/SP7/MMP14/WWOX/PRKACA/SOX11/RUNX1/HOXA2/EGFR/DHRS3/SLC8A1",52
"BP","GO:0150063","visual system development","49/1157","375/18723",5.59006104377971e-07,0.000177533762208039,0.000157387043752733,"NES/PROX1/WT1/DLX2/JAG1/PITX2/SDK1/KLF4/SLC25A25/C1QA/HPCA/COL4A1/SOX8/WNT9B/LRP5L/MYOM2/HCN1/SIX3/MEIS1/PRSS56/FAT1/FBN2/TFAP2B/OSR2/RET/MAX/LAMA1/SH3PXD2B/SDK2/BMP7/LHX2/LRP5/NECTIN1/ATP2B4/PAX2/SIPA1L3/NPHP4/SMOC1/SOX2/PRPH2/HESX1/SKI/SOX1/MAF/CELF4/SOX11/NECTIN3/PDE6B/CITED2",49
"BP","GO:0043010","camera-type eye development","44/1157","322/18723",6.1519385181539e-07,0.000184523978108405,0.000163584002585063,"NES/PROX1/WT1/DLX2/JAG1/PITX2/SDK1/KLF4/SLC25A25/HPCA/COL4A1/SOX8/WNT9B/LRP5L/MYOM2/HCN1/SIX3/MEIS1/PRSS56/FAT1/FBN2/TFAP2B/OSR2/RET/MAX/LAMA1/SDK2/BMP7/LHX2/LRP5/NECTIN1/ATP2B4/PAX2/NPHP4/PRPH2/HESX1/SKI/SOX1/MAF/CELF4/SOX11/NECTIN3/PDE6B/CITED2",44
"BP","GO:0010975","regulation of neuron projection development","55/1157","445/18723",7.04965894859289e-07,0.00020032162454449,0.000177588915452919,"INPP5F/EFNB2/NFATC4/ITPKA/SEZ6/ALKAL2/NDNF/RAPGEF2/SDC2/KLF4/THOC2/GDI1/ADCYAP1/ANKRD27/GAK/WNT3A/CDH2/FLNA/ACAP3/STK24/ROBO1/PLXNA4/MAP2/GSK3B/TNIK/BHLHB9/RET/BRSK2/CRTC1/BMP7/PLXND1/MINAR1/PTK2B/CDH4/ARC/EHD1/CUX1/RGMA/PLK5/PLXNA2/NCS1/PQBP1/KNDC1/IQGAP1/HGF/DAB1/CUX2/SLITRK1/RTN4RL1/SEMA6B/ITGA6/SEMA6A/PRAG1/RAPGEF1/L1CAM",55
"BP","GO:0001656","metanephros development","19/1157","85/18723",7.88779079335556e-07,0.000204188715781688,0.00018101716510062,"WT1/POU3F3/BASP1/SOX8/WNT9B/KIF26B/CTSH/TFAP2B/OSR2/RET/BMP7/PAX2/IRX2/OSR1/PDGFA/SIX1/FMN1/SALL1/CXCR2",19
"BP","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","39/1157","273/18723",8.62559167869768e-07,0.000204188715781688,0.00018101716510062,"HMCN1/TENM4/KIRREL3/ITGAL/CBLN1/LRFN3/SDK1/KLF4/SLITRK2/CDH2/CDH23/ROBO1/PCDH17/CDH22/FAT1/MDGA1/RET/ARVCF/SDK2/NECTIN1/CDH4/PCDHGC4/UMOD/DSC2/PCDH19/UNC5D/FAT3/DCHS2/DAB1/PCDH9/SLITRK1/LRFN5/CDH15/NECTIN3/ADGRL3/FAT4/PCDH10/PCDH18/L1CAM",39
"BP","GO:0060537","muscle tissue development","51/1157","403/18723",8.78884049493001e-07,0.000204188715781688,0.00018101716510062,"PROX1/WT1/TENM4/EFNB2/NR2F2/JPH2/G6PD/RYR2/SOX8/GPC1/MYOM2/EMD/WNT3A/HDAC4/VGLL4/TAFAZZIN/SIK1/DMRTA2/FGFR2/MEIS1/MSX2/TBX20/KLF5/TBX1/MYO18B/CTDP1/BMP7/RYR1/PLEC/HIVEP3/PPARA/LMOD3/OSR1/SRPK3/CYP26B1/SKI/BCL9/HNRNPU/POU4F1/SIX1/MEF2A/RBFOX1/MYH14/SOX11/FZD7/RUNX1/ADAMTS9/HEY2/CITED2/HDAC9/SLC8A1",51
"BP","GO:0048704","embryonic skeletal system morphogenesis","20/1157","94/18723",9.41188318565595e-07,0.000204188715781688,0.00018101716510062,"HOXB3/DLX2/WNT9B/HOXB5/DYNC2I1/FGFR2/ALX1/GSC/OSR2/MYCN/TBX1/NDST1/BMP7/TBX15/OSR1/MMP14/SIX1/HOXB8/SOX11/HOXA2",20
"BP","GO:0048864","stem cell development","19/1157","86/18723",9.54465544175045e-07,0.000204188715781688,0.00018101716510062,"JAG1/PITX2/SOX8/CDH2/ALX1/NRP2/RET/CYP26C1/TBX1/BMP7/KITLG/MSI2/SEMA6B/SOX11/KBTBD8/EDNRA/FAM172A/SEMA6A/CITED2",19
"BP","GO:0001654","eye development","48/1157","371/18723",9.71457369525029e-07,0.000204188715781688,0.00018101716510062,"NES/PROX1/WT1/DLX2/JAG1/PITX2/SDK1/KLF4/SLC25A25/HPCA/COL4A1/SOX8/WNT9B/LRP5L/MYOM2/HCN1/SIX3/MEIS1/PRSS56/FAT1/FBN2/TFAP2B/OSR2/RET/MAX/LAMA1/SH3PXD2B/SDK2/BMP7/LHX2/LRP5/NECTIN1/ATP2B4/PAX2/SIPA1L3/NPHP4/SMOC1/SOX2/PRPH2/HESX1/SKI/SOX1/MAF/CELF4/SOX11/NECTIN3/PDE6B/CITED2",48
"BP","GO:0048568","embryonic organ development","53/1157","427/18723",9.83312948754195e-07,0.000204188715781688,0.00018101716510062,"NES/PROX1/NR2F2/HOXB3/ERCC1/DLX2/LRIG1/PITX2/RSPO3/PCSK5/RYR2/KCNQ1/SPINT1/WNT9B/GATA2/WNT3A/HOXB5/RPL10/EN2/DYNC2I1/FGFR2/TEAD4/ALX1/GSC/SIX3/EN1/FBN2/TBX20/OSR2/MYCN/TBX1/NDST1/BMP7/NOTO/PAX2/TBX15/OSR1/ZIC1/ZIC3/HESX1/KITLG/ZFP36L1/PDGFA/MMP14/SIX1/SALL1/HOXB8/MBD3/SOX11/HEY2/CITED2/HOXA2/INSIG2",53
"BP","GO:0061564","axon development","56/1157","467/18723",1.46948615586866e-06,0.000293842805760552,0.000260497214453599,"BARHL2/EFNA3/INPP5F/EFNB2/OTX2/NFIB/KLF4/SLITRK2/GDI1/LHX3/HDAC6/WNT3A/CDH2/ADGRB1/FLNA/STK24/HSP90AA1/ROBO1/AUTS2/PLXNA4/FGFR2/NRP2/MAP2/GSK3B/RET/LAMA1/NKX6-1/BRSK2/BMP7/PLXND1/SLC25A46/EPHB4/LHX2/SPRY3/NECTIN1/PAX2/CDH4/RGMA/NRXN3/PLXNA2/UCHL1/UNC5D/EPHA10/DAB1/POU4F1/SLITRK1/FOXB1/NEO1/RTN4RL1/EFNA2/SEMA6B/MAP1S/SEMA6A/UNC5A/HOXA2/L1CAM",56
"BP","GO:0014032","neural crest cell development","18/1157","81/18723",1.67624888618923e-06,0.000323216704876274,0.000286537732537686,"JAG1/PITX2/SOX8/CDH2/ALX1/NRP2/RET/CYP26C1/TBX1/BMP7/KITLG/SEMA6B/SOX11/KBTBD8/EDNRA/FAM172A/SEMA6A/CITED2",18
"BP","GO:0014033","neural crest cell differentiation","19/1157","91/18723",2.36246857605688e-06,0.000434395479549269,0.000385099822678766,"JAG1/PITX2/SOX8/CDH2/ALX1/GSC/NRP2/RET/CYP26C1/TBX1/BMP7/KITLG/SEMA6B/SOX11/KBTBD8/EDNRA/FAM172A/SEMA6A/CITED2",19
"BP","GO:0061138","morphogenesis of a branching epithelium","29/1157","182/18723",2.41375521142398e-06,0.000434395479549269,0.000385099822678766,"PROX1/WT1/NFATC4/RSPO3/COL4A1/SPINT1/SOX8/WNT9B/LRP5L/SULF1/CSMD1/FGFR2/CTSH/TBX20/LAMA1/MYCN/BMP7/PLXND1/LRP5/PAX2/HGF/PDGFA/CSF1/MMP14/SIX1/SALL1/SRC/HHIP/EDNRA",29
"BP","GO:0001708","cell fate specification","19/1157","92/18723",2.80698947804192e-06,0.000472495385083337,0.000418876110775667,"TENM4/LHX3/WNT3A/DMRTA2/GSC/TBX20/DMRT3/TBX1/GSX2/PAX2/FOXA2/LMO4/SOX2/TBX15/POU4F1/SOX1/SIX1/FZD7/TLX3",19
"BP","GO:0022612","gland morphogenesis","22/1157","118/18723",2.88311460360682e-06,0.000472495385083337,0.000418876110775667,"PROX1/NFIB/MSN/LRP5L/WNT3A/SULF1/CSMD1/FGFR2/LAMA1/SULF2/BMP7/PLXND1/LRP5/TNFAIP3/SOSTDC1/HGF/PDGFA/CSF1/NKX2-3/SRC/FGL1/PLAG1",22
"BP","GO:0009953","dorsal/ventral pattern formation","18/1157","84/18723",2.92584782098143e-06,0.000472495385083337,0.000418876110775667,"SMAD6/LHX3/WNT3A/GSC/SIX3/EN1/TBX20/DMRT3/GSX2/LHX2/NOTO/SOSTDC1/LMX1B/SOX1/PRKACA/HHIP/HOXA2/GPR161",18
"BP","GO:0043547","positive regulation of GTPase activity","36/1157","255/18723",2.97552196570355e-06,0.000472495385083337,0.000418876110775667,"RAPGEF2/TBC1D12/ADCYAP1/PRTN3/ARHGEF16/ARHGAP29/GSK3B/TSC2/RAP1GAP/NTF3/NEDD9/PTK2B/RASGRF1/SIPA1L3/ADAP1/RGS7/RGMA/ARHGEF19/CCL1/ASAP2/DENND1A/SIPA1L2/SLC27A4/AGRN/NET1/ARAP1/VAV1/PKP4/ITGA6/TBC1D22A/IQSEC1/ARHGAP24/ARAP3/ARHGEF10/RAPGEF1/TBC1D1",36
"BP","GO:0090596","sensory organ morphogenesis","36/1157","256/18723",3.26110370759153e-06,0.000503048540493905,0.000445962061907329,"PROX1/JAG1/LRIG1/PITX2/SDK1/KCNQ1/SOX8/GATA2/WNT3A/HCN1/FGFR2/GSC/SIX3/MEIS1/FAT1/FBN2/TFAP2B/OSR2/TBX1/SDK2/BMP7/LRP5/NECTIN1/PAX2/OSR1/ZIC1/HESX1/CYP26B1/SKI/SOX1/SIX1/SOX11/NECTIN3/CITED2/HOXA2/INSIG2",36
"BP","GO:0001764","neuron migration","26/1157","156/18723",3.3893357767178e-06,0.000508306218291651,0.000450623092887013,"BARHL2/KIRREL3/NR2F2/NDNF/RAPGEF2/GATA2/ASTN2/FLNA/ACAP3/GAS6/AUTS2/NRP2/MDGA1/TBX20/NKX6-1/FGFR1/UNC5D/DAB1/SOX1/CCR4/SOX14/ADGRL3/SEMA6A/TLX3/LHX6/NEXMIF",26
"BP","GO:0060041","retina development in camera-type eye","25/1157","147/18723",3.57958271239504e-06,0.000522328839573535,0.000463054412326038,"PROX1/DLX2/SDK1/HPCA/COL4A1/SOX8/LRP5L/HCN1/SIX3/TFAP2B/RET/MAX/LAMA1/SDK2/LHX2/LRP5/NECTIN1/ATP2B4/PAX2/NPHP4/PRPH2/SKI/CELF4/NECTIN3/PDE6B",25
"BP","GO:0001763","morphogenesis of a branching structure","30/1157","196/18723",3.79388539849562e-06,0.00053903124385468,0.000477861410165086,"PROX1/WT1/NFATC4/DLX2/RSPO3/COL4A1/SPINT1/SOX8/WNT9B/LRP5L/SULF1/CSMD1/FGFR2/CTSH/TBX20/LAMA1/MYCN/BMP7/PLXND1/LRP5/PAX2/HGF/PDGFA/CSF1/MMP14/SIX1/SALL1/SRC/HHIP/EDNRA",30
"BP","GO:0060485","mesenchyme development","39/1157","291/18723",4.2525934047291e-06,0.000588711584413652,0.000521903973314527,"WT1/JAG1/PITX2/BASP1/SOX8/WNT3A/CDH2/FLNA/ROBO1/FGFR2/ALX1/GSC/NRP2/GSK3B/TBX20/AMER1/RET/CYP26C1/TBX1/BMP7/FGFR1/PAX2/FOXA2/POFUT2/TCF7L2/OSR1/KITLG/ZFP36L1/HGF/PHLDB2/SIX1/SEMA6B/SOX11/KBTBD8/EDNRA/FAM172A/SEMA6A/HEY2/CITED2",39
"BP","GO:0050808","synapse organization","51/1157","426/18723",4.5012428844128e-06,0.000607555258323617,0.000538609247248026,"DLGAP3/CTBP2/KIRREL3/EFNB2/NFATC4/LGMN/ITPKA/CBLN1/SEZ6/ASIC2/LRFN3/SPARC/ELFN1/SDK1/CTTNBP2/SLITRK2/C1QA/COL4A1/HDAC6/WNT3A/CDH2/ADGRB1/FLNA/CACNG2/PCDH17/GPHN/NRP2/LRRN1/MDGA1/BHLHB9/PPFIA1/SDK2/PLXND1/SPTBN2/NECTIN1/PCDHGC4/ARC/DIP2A/MECP2/AGRN/CUX2/POU4F1/SLITRK1/LRFN5/SIX1/SLC8A2/ZMYND8/ADGRL3/NDRG1/L1CAM/SHANK2",51
"BP","GO:0044344","cellular response to fibroblast growth factor stimulus","21/1157","113/18723",5.07853265669147e-06,0.000668756044231153,0.000592864903465369,"KL/OTX2/FGF22/TRIM71/NDNF/CCN2/FGF19/GPC1/SULF1/ZFP36L2/FGFR2/FGF18/TBX1/NDST1/SULF2/SPRY3/FGFR1/FGF6/ITGB1BP1/ZFP36L1/HHIP",21
"BP","GO:0051146","striated muscle cell differentiation","38/1157","283/18723",5.37470053822921e-06,0.000690904957283322,0.000612500334519504,"PROX1/WT1/EFNB2/CACNA1H/G6PD/MYOM2/WNT3A/CDH2/HDAC4/ADGRB1/CAPN3/SIK1/KLF5/TBX1/MYO18B/CTDP1/RYR1/PLEC/EHD1/PPARA/PLPP7/LMOD3/OBSCN/FLII/ATP11A/CYP26B1/SKI/BCL9/HNRNPU/CASP7/MMP14/SIX1/MEF2A/DMPK/FZD7/HEY2/HDAC9/SLC8A1",38
"BP","GO:0030111","regulation of Wnt signaling pathway","42/1157","328/18723",5.93476659160462e-06,0.00074515825181566,0.000660596908005538,"NFATC4/RSPO3/MDFIC/OTUD5/HIC1/RNF213/EMD/WNT3A/LRRK1/CDH2/VGLL4/SULF1/CSNK2A1/FGFR2/GSC/GSK3B/SOX7/AMER1/TSC2/NFATC1/SULF2/JADE1/IFT80/C12orf43/NOTUM/NPHP4/SOX2/TCF7L2/TNFAIP3/SOSTDC1/SKI/PTPRU/TLE3/SALL1/WWOX/FZD7/SRC/TBL1XR1/EGFR/TLE1/BARX1/ATP6AP2",42
"BP","GO:0016055","Wnt signaling pathway","52/1157","444/18723",6.85560853204058e-06,0.000827890445922132,0.000733940565525377,"FZD8/NFATC4/AMOTL2/RSPO3/MDFIC/KLF4/OTUD5/HIC1/WNT9B/RNF213/EMD/WNT3A/LRRK1/CDH2/VGLL4/SULF1/CSNK2A1/FGFR2/GSC/GSK3B/TNIK/SOX7/AMER1/TSC2/NFATC1/SULF2/JADE1/LRP5/IFT80/C12orf43/NOTUM/NPHP4/SOX2/ARHGEF19/TCF7L2/TNFAIP3/SOSTDC1/HESX1/SKI/PTPRU/BCL9/TLE3/SALL1/WWOX/FZD7/SRC/TBL1XR1/EGFR/SMURF1/TLE1/BARX1/ATP6AP2",52
"BP","GO:0021953","central nervous system neuron differentiation","26/1157","162/18723",6.90036489470197e-06,0.000827890445922132,0.000733940565525377,"PROX1/CBLN1/DLX2/NDNF/RAPGEF2/NFIB/LHX5/GATA2/LHX3/WNT3A/HSP90AA1/PLXNA4/FGFR2/NRP2/MAP2/MDGA1/TBX20/DMRT3/NKX6-1/GSX2/LMO4/KNDC1/POU4F1/SOX1/LHX6/MDGA2",26
"BP","GO:0198738","cell-cell signaling by wnt","52/1157","446/18723",7.79151195584034e-06,0.000914486370643087,0.000810709493437209,"FZD8/NFATC4/AMOTL2/RSPO3/MDFIC/KLF4/OTUD5/HIC1/WNT9B/RNF213/EMD/WNT3A/LRRK1/CDH2/VGLL4/SULF1/CSNK2A1/FGFR2/GSC/GSK3B/TNIK/SOX7/AMER1/TSC2/NFATC1/SULF2/JADE1/LRP5/IFT80/C12orf43/NOTUM/NPHP4/SOX2/ARHGEF19/TCF7L2/TNFAIP3/SOSTDC1/HESX1/SKI/PTPRU/BCL9/TLE3/SALL1/WWOX/FZD7/SRC/TBL1XR1/EGFR/SMURF1/TLE1/BARX1/ATP6AP2",52
"BP","GO:0003151","outflow tract morphogenesis","16/1157","74/18723",9.11440984682998e-06,0.00103827673842782,0.000920451999811136,"SMAD6/JAG1/PITX2/ROBO1/FGFR2/NRP2/TBX20/TBX1/BMP7/PLXND1/RYR1/SIX1/SOX11/HEY2/CITED2/DHRS3",16
"BP","GO:0048762","mesenchymal cell differentiation","33/1157","236/18723",9.32440553783639e-06,0.00103827673842782,0.000920451999811136,"JAG1/PITX2/SOX8/CDH2/FLNA/FGFR2/ALX1/GSC/NRP2/GSK3B/TBX20/AMER1/RET/CYP26C1/TBX1/BMP7/FGFR1/PAX2/FOXA2/POFUT2/TCF7L2/OSR1/KITLG/HGF/PHLDB2/SEMA6B/SOX11/KBTBD8/EDNRA/FAM172A/SEMA6A/HEY2/CITED2",33
"BP","GO:0007519","skeletal muscle tissue development","25/1157","155/18723",9.42314506074519e-06,0.00103827673842782,0.000920451999811136,"NR2F2/SOX8/GPC1/MYOM2/EMD/WNT3A/HDAC4/TAFAZZIN/DMRTA2/KLF5/TBX1/RYR1/PLEC/HIVEP3/LMOD3/SRPK3/CYP26B1/SKI/BCL9/SIX1/RBFOX1/MYH14/SOX11/CITED2/HDAC9",25
"BP","GO:0035270","endocrine system development","22/1157","127/18723",9.98212748011651e-06,0.00107787012530298,0.000955552287412416,"WT1/HOXB3/PITX2/PROP1/NR5A1/ADCYAP1/GATA2/LHX3/CDH2/SIX3/GSK3B/TBX1/NKX6-1/RAP1GAP/RFX3/FOXA2/SOX2/ETS1/HESX1/SIX1/SALL1/CITED2",22
"BP","GO:0048863","stem cell differentiation","30/1157","206/18723",1.04768179343587e-05,0.00109085868579959,0.000967066892373978,"LTBP3/JAG1/PITX2/SOX8/WNT3A/CDH2/ZFP36L2/OSM/FGFR2/ALX1/GSC/NRP2/RET/CYP26C1/TBX1/BMP7/PAX2/OSR1/HESX1/KITLG/HNRNPU/SP7/MSI2/SEMA6B/SOX11/KBTBD8/EDNRA/FAM172A/SEMA6A/CITED2",30
